Date,Open,High,Low,Close,Adj Close,Volume
2024-02-27,182.45,183.92,181.91,182.63,182.63,41725000
2024-02-26,181.15,183.72,181.12,182.94,182.94,43468300
2024-02-23,184.62,184.92,182.03,182.52,182.52,55960000
2024-02-22,183.96,185.14,182.76,184.37,184.37,59265200
2024-02-21,182.08,183.18,180.15,182.32,182.32,64245600
2024-02-20,183.45,184.32,181.85,182.08,182.08,55234100
2024-02-16,182.85,183.95,181.92,183.45,183.45,48562300
2024-02-15,183.12,184.25,182.15,182.85,182.85,52145800
2024-02-14,184.25,185.15,183.05,183.12,183.12,51245700
2024-02-13,183.95,185.45,183.25,184.25,184.25,49856300
2024-02-12,182.75,184.15,182.15,183.95,183.95,47562300
2024-02-09,181.95,183.25,181.45,182.75,182.75,45123400
2024-02-08,183.15,184.35,181.65,181.95,181.95,53214500
2024-02-07,182.85,184.15,182.25,183.15,183.15,48562300
2024-02-06,181.95,183.45,181.35,182.85,182.85,46235800
2024-02-05,182.45,183.75,181.85,181.95,181.95,49856300
2024-02-02,183.15,184.25,182.15,182.45,182.45,47562300
2024-02-01,182.75,184.15,182.05,183.15,183.15,45123400
2024-01-31,181.95,183.25,181.45,182.75,182.75,53214500
2024-01-30,182.85,184.15,181.75,181.95,181.95,48562300
2024-01-29,183.45,184.75,182.85,182.85,182.85,46235800
2024-01-26,182.95,184.25,182.15,183.45,183.45,49856300
2024-01-25,181.85,183.15,181.25,182.95,182.95,47562300
2024-01-24,182.65,183.95,181.85,181.85,181.85,45123400
2024-01-23,183.45,184.75,182.55,182.65,182.65,53214500
2024-01-22,182.95,184.25,182.15,183.45,183.45,48562300
2024-01-19,181.85,183.15,181.25,182.95,182.95,46235800
2024-01-18,182.65,183.95,181.85,181.85,181.85,49856300
2024-01-17,183.45,184.75,182.55,182.65,182.65,47562300
2024-01-16,182.95,184.25,182.15,183.45,183.45,45123400
2024-01-12,181.85,183.15,181.25,182.95,182.95,53214500
2024-01-11,182.65,183.95,181.85,181.85,181.85,48562300
2024-01-10,183.45,184.75,182.55,182.65,182.65,46235800
2024-01-09,182.95,184.25,182.15,183.45,183.45,49856300
2024-01-08,181.85,183.15,181.25,182.95,182.95,47562300
2024-01-05,182.65,183.95,181.85,181.85,181.85,45123400
2024-01-04,183.45,184.75,182.55,182.65,182.65,53214500
2024-01-03,182.95,184.25,182.15,183.45,183.45,48562300
2024-01-02,181.85,183.15,181.25,182.95,182.95,46235800
2023-12-29,182.65,183.95,181.85,181.85,181.85,49856300
2023-12-28,183.45,184.75,182.55,182.65,182.65,47562300
2023-12-27,182.95,184.25,182.15,183.45,183.45,45123400
2023-12-26,181.85,183.15,181.25,182.95,182.95,53214500
2023-12-22,182.65,183.95,181.85,181.85,181.85,48562300
2023-12-21,183.45,184.75,182.55,182.65,182.65,46235800
2023-12-20,182.95,184.25,182.15,183.45,183.45,49856300
2023-12-19,181.85,183.15,181.25,182.95,182.95,47562300
2023-12-18,182.65,183.95,181.85,181.85,181.85,45123400
2023-12-15,183.45,184.75,182.55,182.65,182.65,53214500
2023-12-14,182.95,184.25,182.15,183.45,183.45,48562300
